Time (sec),Accel. Position (%),Boost (PSI),Fuel Economy (MPG),Gear Position (Gear),RPM (RPM),Vehicle Speed (mph)
3.422,0,-9.22,44.1,5,803,17
3.45,0,-9.22,44.1,5,803,17
3.463,0,-9.22,44.1,5,804,17
3.477,0,-9.21,42.4,5,804,16
3.489,0,-9.21,42.1,5,804,16
3.512,0,-9.22,42.1,5,804,16
3.524,0,-9.22,42.1,5,804,16
3.55,0,-9.22,42.4,5,804,16
3.562,0,-9.22,42.1,5,805,16
3.577,0,-9.22,42.4,5,804,16
3.589,0,-9.22,42.4,5,803,16
3.614,0,-9.22,42.1,5,803,16
3.618,0,-9.22,42.1,5,803,16
3.629,0,-9.22,42.1,5,805,16
3.655,0,-9.22,42.1,5,805,16
3.667,0,-9.23,42.1,5,804,16
3.679,0,-9.23,40.5,0,804,16
3.706,0,-9.24,40.5,4,804,16
3.71,0,-9.24,40.5,4,804,16
3.723,0,-9.24,40.5,4,804,16
3.745,0,-9.23,40.2,4,804,16
3.767,0,-9.22,40.5,4,804,16
3.779,0,-9.22,40.2,4,805,16
3.791,0,-9.22,40.2,4,804,16
3.808,0,-9.24,40.2,4,804,16
3.823,0,-9.24,40,4,807,16
3.856,0,-9.24,40,4,807,16
3.868,0,-9.24,40,4,807,16
3.879,0,-9.23,38.6,4,806,15
3.904,0,-9.23,38.6,4,806,15
3.906,0,-9.23,38.6,4,806,15
3.918,0,-9.22,38.6,4,806,15
3.947,0,-9.22,38.3,4,808,15
3.969,0,-9.24,38.3,4,810,15
3.98,0,-9.24,38.3,4,812,15
4,0,-9.25,38.1,4,812,15
4.023,0,-9.25,38.3,4,811,15
4.035,0,-9.23,38.1,4,812,15
4.046,0,-9.23,36.4,4,813,14
4.072,0,-9.24,36.7,4,813,14
4.084,0,-9.24,36.4,4,815,14
4.101,0,-9.24,36.4,4,815,14
4.114,0,-9.26,36.2,4,817,14
4.144,0,-9.26,36.2,4,819,14
4.156,0,-9.26,36.2,4,820,14
4.168,0,-9.26,36.2,4,820,14
4.18,0,-9.26,36.2,4,820,14
4.206,0,-9.26,34.8,4,817,14
4.217,0,-9.28,34.8,4,818,14
4.229,0,-9.28,34.8,4,818,14
4.257,0,-9.28,34.5,4,819,14
4.261,0,-9.29,34.5,4,821,14
4.275,0,-9.29,34.5,4,822,14
4.292,0,-9.29,34.5,4,822,14
4.308,0,-9.29,34.5,4,821,14
4.33,0,-9.29,34.5,4,821,14
4.342,0,-9.29,34.5,4,822,14
4.369,0,-9.29,33.1,4,823,13
4.382,0,-9.29,33.1,4,822,13
4.404,0,-9.31,32.9,4,822,13
4.408,0,-9.31,32.9,4,823,13
4.434,0,-9.31,32.9,4,824,13
4.446,0,-9.32,32.9,4,825,13
4.458,0,-9.32,32.9,4,825,13
4.48,0,-9.3,32.9,4,822,13
4.504,0,-9.3,33.1,0,821,13
4.509,0,-9.32,33.1,3,822,13
4.524,0,-9.32,31.4,3,823,12
4.536,0,-9.34,31.4,3,823,12
4.56,0,-9.34,31.2,3,826,12
4.573,0,-9.34,31.4,3,826,12
4.591,0,-9.34,31.2,3,827,12
4.615,0,-9.34,31.2,3,827,12
4.64,0,-9.34,31.2,3,826,12
4.659,0,-9.34,29.8,3,827,12
4.671,0,-9.34,29.8,3,829,12
4.699,0,-9.34,29.8,3,829,12
4.703,0,-9.36,29.8,3,829,12
4.725,0,-9.36,29.5,3,830,12
4.737,0,-9.36,29.5,3,830,12
4.762,0,-9.35,29.8,3,830,12
4.789,0,-9.35,29.5,3,831,12
4.793,0,-9.35,29.5,3,831,12
4.814,0,-9.36,28.1,3,831,11
4.826,0,-9.36,28.1,3,831,11
4.838,0,-9.38,27.9,3,833,11
4.863,0,-9.38,28.1,3,833,11
4.875,0,-9.38,28.1,3,830,11
4.886,0,-9.38,28.1,3,828,11
4.913,0,-9.37,28.3,3,827,11
4.925,0,-9.37,26.7,3,827,11
4.938,0,-9.36,26.7,3,827,11
4.949,0,-9.36,26.7,3,826,11
4.973,0,-9.36,26.7,3,825,11
4.998,0,-9.38,26.7,3,824,11
5,0,-9.38,26.7,3,825,11
5.024,0,-9.38,26.7,3,824,11
5.028,0,-9.38,26.7,3,824,11
5.04,0,-9.35,26.9,3,824,11
5.057,0,-9.35,26.9,3,823,11
5.083,0,-9.35,26.9,3,823,11
5.101,0,-9.36,25.2,3,822,10
5.107,0,-9.36,25.2,3,821,10
5.123,0,-9.38,25.2,3,820,10
5.137,0,-9.38,25.2,3,821,10
5.149,0,-9.36,25.2,3,821,10
5.172,0,-9.36,25.2,3,821,10
5.193,0,-9.36,25.2,3,819,10
5.204,0,-9.35,23.8,3,817,9
5.222,0,-9.35,23.8,3,817,9
5.234,0,-9.35,23.8,3,817,9
5.256,0,-9.35,23.8,3,817,9
5.274,0,-9.35,23.8,3,817,9
5.286,0,-9.35,23.8,3,817,9
5.298,0,-9.35,23.8,3,817,9
5.31,0,-9.35,23.8,3,817,9
5.328,0,-9.35,23.8,0,817,9
5.348,0,-9.34,23.8,2,818,9
5.362,0,-9.34,22.1,2,818,9
5.374,0,-9.34,22.1,2,818,9
5.396,0,-9.33,22.1,2,818,9
5.418,0,-9.33,22.1,2,818,9
5.445,0,-9.35,22.1,2,819,9
5.457,0,-9.34,22.1,2,820,9
5.469,0,-9.34,22.1,2,819,9
5.487,0,-9.34,20.5,2,819,8
5.501,0,-9.32,20.5,2,818,8
5.537,0,-9.33,20.5,2,819,8
5.557,0,-9.33,20.5,2,818,8
5.569,0,-9.34,20.5,2,817,8
5.596,0,-9.34,20.5,2,817,8
5.598,0,-9.34,20.5,2,817,8
5.61,0,-9.34,18.8,2,817,7
5.643,0,-9.34,19,2,817,7
5.676,0,-9.33,19,2,816,7
5.688,0,-9.34,19,2,816,7
5.699,0,-9.34,19,2,815,7
5.712,0,-9.35,19,2,814,7
5.734,0,-9.35,19,2,816,7
5.746,0,-9.34,19,2,816,7
5.774,0,-9.34,17.4,2,817,7
5.796,0,-9.34,17.4,2,814,7
5.823,0,-9.34,17.4,2,814,7
5.835,0,-9.33,17.4,2,816,7
5.859,0,-9.33,17.4,2,816,7
5.877,0,-9.34,17.4,2,817,7
5.889,0,-9.35,15.7,2,817,6
5.912,0,-9.35,15.7,2,817,6
5.93,0,-9.35,15.7,2,817,6
5.942,0,-9.33,15.7,2,819,6
5.954,0,-9.33,16,2,819,6
5.966,0,-9.36,16,2,819,6
5.988,0,-9.36,16,2,820,6
6.008,0,-9.4,16,2,820,6
6.02,0,-9.4,16,2,822,6
6.045,0,-9.4,16,2,822,6
6.049,0,-9.4,14.3,2,823,6
6.061,0,-9.4,14.3,2,823,6
6.076,0,-9.4,14.3,2,822,6
6.101,0,-9.4,14.3,2,823,6
6.122,0,-9.4,14.3,2,826,6
6.134,0,-9.4,14.3,2,830,6
6.148,0,-9.41,14.3,2,830,6
6.17,0,-9.41,14,2,840,6
6.19,0,-9.43,14,2,844,6
6.213,0,-9.43,14,2,846,6
6.236,0,-9.43,14,2,848,6
6.248,0,-9.45,14,2,850,6
6.264,0,-9.45,14,2,854,6
6.278,0,-9.45,14,2,855,6
6.304,0,-9.49,13.8,2,859,6
6.315,0,-9.49,13.8,0,862,6
6.327,0,-9.51,12.4,1,865,5
6.35,0,-9.51,12.4,1,866,5
6.357,0,-9.52,12.4,1,869,5
6.371,0,-9.52,12.4,1,870,5
6.401,0.8,-9.53,12.4,1,870,5
6.413,5.1,-9.53,12.1,1,874,5
6.429,6.7,-9.56,12.1,1,874,5
6.452,11,-9.56,11.7,1,880,5
6.464,12.2,-9.5,11.4,1,883,5
6.492,14.1,-9.5,10.7,1,883,5
6.514,14.1,-8.84,10.2,1,886,5
6.518,13.7,-8.84,9.8,1,888,5
6.542,12.5,-8.34,9.3,1,895,5
6.564,11,-8.34,8.8,1,898,5
6.568,10.6,-7.89,8.3,1,911,5
6.59,9.8,-7.55,8.1,1,920,5
6.603,9.4,-7.55,7.4,1,951,5
6.614,9,-7.55,7.4,1,951,5
6.626,9,-7.32,7.1,1,977,5
6.648,9,-7.32,6.9,1,977,5
6.662,9,-7.29,6.7,1,996,5
6.679,9,-7.29,6.4,1,1005,5
6.692,9.4,-7.11,6.2,1,1027,5
6.714,9.4,-7.11,6.2,1,1039,5
6.718,9.4,-6.96,6,1,1062,5
6.731,9.4,-6.81,6,1,1071,5
6.746,9,-6.81,5.7,1,1097,5
6.768,9,-6.66,5.5,1,1097,5
6.794,9,-6.45,5.5,1,1138,5
6.806,9,-6.45,5.2,1,1148,5
6.828,9,-6.28,5.2,1,1175,5
6.85,9,-6.14,4.8,1,1200,5
6.873,9,-6.01,4.8,1,1209,5
6.892,9,-5.87,4.5,1,1233,5
6.914,9.4,-5.69,4.5,1,1267,5
6.926,9.4,-5.69,4.3,1,1272,5
6.938,9.8,-5.57,4.3,1,1280,5
6.962,9.8,-5.57,4.3,1,1285,5
6.99,9.8,-5.4,4.3,1,1301,5
6.993,10.2,-5.25,4.3,1,1308,5
7.015,10.6,-5.09,4,1,1325,5
7.027,10.6,-4.9,4,1,1325,5
7.039,11,-4.9,4,1,1333,5
7.062,11,-4.74,4,1,1342,5
7.074,11,-4.62,3.8,1,1352,5
7.086,11,-4.5,3.8,1,1356,5
7.109,11,-4.5,3.8,1,1366,5
7.132,11,-4.33,3.8,1,1373,5
7.149,11,-4.15,3.8,1,1382,5
7.165,11,-4.02,4,1,1390,6
7.177,11,-3.92,4,1,1399,6
7.2,11,-3.92,4,1,1401,6
7.223,11,-3.79,4,1,1407,6
7.246,11,-3.79,4,1,1415,6
7.264,11,-3.77,4,1,1422,6
7.275,11,-3.73,4,1,1425,6
7.287,11,-3.7,4,1,1425,6
7.304,11,-3.7,4,1,1426,6
7.326,11,-3.65,4,1,1430,6
7.352,11,-3.65,4,1,1430,6
7.369,11,-3.62,4.3,1,1428,6
7.381,11,-3.58,4,1,1425,6
7.406,11,-3.57,4,1,1424,6
7.41,11,-3.57,4.5,1,1424,6
7.422,11,-3.57,4.5,1,1424,6
7.444,11,-3.57,4.8,1,1424,6
7.456,11,-3.54,4.8,1,1424,6
7.482,10.6,-3.52,4.8,1,1420,6
7.494,10.6,-3.52,4.8,1,1419,6
7.516,10.6,-3.55,4.8,1,1417,6
7.528,10.6,-3.55,4.8,1,1417,6
7.54,10.6,-3.52,4.8,1,1414,6
7.562,10.6,-3.53,5.2,1,1418,7
7.578,10.6,-3.53,5.2,1,1418,7
7.59,10.6,-3.55,5,1,1423,7
7.602,10.6,-3.55,5,1,1428,7
7.614,11,-3.55,5,1,1429,7
7.64,11,-3.55,5,1,1440,7
7.652,11,-3.56,5,1,1456,7
7.664,11,-3.56,5,1,1456,7
7.692,11,-3.55,4.8,1,1472,7
7.715,11,-3.53,4.8,1,1510,7
7.726,11,-3.54,5,1,1510,7
7.748,11,-3.57,5,1,1536,7
7.762,11.4,-3.54,5,1,1573,7
7.774,11.4,-3.54,4.8,1,1579,7
7.786,11.4,-3.46,4.8,1,1592,7
7.812,11.4,-3.43,4.8,1,1609,7
7.828,11.4,-3.43,4.8,1,1616,7
7.84,11.4,-3.42,4.5,1,1621,7
7.866,11.4,-3.41,4.5,1,1633,7
7.878,11.4,-3.41,4.5,1,1638,7
7.89,11.4,-3.44,4.5,1,1645,7
7.913,11.4,-3.38,4.5,1,1646,7
7.924,11.4,-3.33,5,1,1650,8
7.947,11.8,-3.33,5,1,1650,8
7.959,11.8,-3.34,5,1,1655,8
7.984,11.8,-3.37,4.8,1,1660,8
7.986,11.8,-3.36,4.8,1,1667,8
7.998,11.8,-3.27,4.8,1,1668,8
8.02,11.8,-3.19,4.8,1,1680,8
8.044,11.8,-3.19,4.8,1,1685,8
8.056,11.8,-3.26,4.8,1,1698,8
8.079,11.8,-3.21,4.8,1,1721,8
8.09,11.8,-3.14,4.8,1,1738,8
8.11,11.8,-3.24,4.5,1,1744,8
8.123,11.8,-3.38,5,1,1779,9
8.151,11.8,-3.36,5,1,1786,9
8.157,11.8,-3.32,5,1,1806,9
8.169,11.8,-3.46,4.8,1,1814,9
8.198,11.8,-3.42,4.8,1,1828,9
8.21,11.8,-3.4,4.8,1,1830,9
8.222,11.8,-3.5,4.8,1,1845,9
8.244,11.8,-3.47,4.8,1,1848,9
8.256,11.8,-3.47,4.8,1,1854,9
8.278,11.8,-3.46,4.8,1,1862,9
8.29,11.8,-3.41,4.8,1,1869,9
8.312,11.8,-3.51,4.8,1,1872,9
8.332,11.8,-3.47,5.2,1,1878,9
8.344,11.8,-3.45,5.2,1,1880,9
8.356,11.8,-3.5,5.2,1,1886,9
8.372,11.4,-3.46,5.2,1,1894,9
8.394,11.8,-3.5,5.2,1,1900,9
8.416,11.8,-3.51,5.2,1,1903,9
8.428,11.8,-3.48,5.2,1,1918,9
8.44,11.8,-3.46,5.2,1,1921,9
8.458,11.8,-3.54,5.2,1,1936,9
8.474,11.8,-3.51,5.2,1,1940,9
8.496,12.2,-3.54,5.2,1,1958,9
8.519,12.2,-3.52,5.2,1,1974,9
8.53,12.2,-3.49,5.5,1,1985,10
8.553,12.2,-3.55,5.5,1,2001,10
8.578,12.2,-3.58,5.5,1,2012,10
8.591,12.2,-3.54,5.2,1,2031,10
8.618,11.8,-3.55,5.2,1,2046,10
8.623,11.8,-3.57,5.2,1,2051,10
8.635,11.8,-3.56,5.2,1,2064,10
8.668,11.8,-3.63,5.2,1,2066,10
8.68,11.8,-3.55,5.2,1,2082,10
8.702,11.8,-3.76,5.2,1,2082,10
8.722,12.2,-3.74,5.2,1,2086,10
8.734,12.2,-3.8,5.2,1,2088,10
8.746,12.2,-3.75,5.2,1,2091,10
8.758,12.2,-3.77,5.7,1,2092,11
8.77,12.2,-3.71,5.7,1,2096,11
8.792,12.2,-3.71,5.7,1,2101,11
8.819,12.2,-3.72,5.7,1,2111,11
8.832,12.2,-3.78,5.7,1,2123,11
8.844,12.5,-3.82,5.7,1,2130,11
8.866,12.5,-3.69,5.7,1,2144,11
8.892,12.5,-3.69,5.5,1,2153,11
8.917,12.9,-3.79,5.5,1,2165,11
8.921,12.9,-3.9,5.5,1,2177,11
8.935,12.9,-3.82,5.5,1,2197,11
8.966,12.9,-3.83,5.5,1,2203,11
8.987,12.9,-3.73,5.5,1,2217,11
9,12.9,-3.83,5.5,1,2228,11
9.012,12.9,-3.76,5.7,1,2236,11
9.024,12.9,-3.84,5.7,1,2242,11
9.048,12.9,-3.96,5.7,1,2245,11
9.062,12.9,-3.84,5.7,1,2257,11
9.074,12.9,-3.89,5.7,1,2261,11
9.102,12.5,-3.83,5.7,1,2262,11
9.114,12.5,-3.79,5.7,1,2269,11
9.127,12.5,-4.02,5.7,1,2275,11
9.145,12.5,-3.85,5.7,1,2277,11
9.157,12.5,-3.84,5.7,1,2283,11
9.169,12.5,-3.89,5.7,1,2285,11
9.193,12.5,-3.89,5.7,1,2288,11
9.213,12.5,-4.13,5.7,1,2297,11
9.225,12.9,-4.04,5.7,1,2304,11
9.242,12.9,-4.14,5.7,1,2311,11
9.254,12.9,-4.11,5.7,1,2314,11
9.276,12.9,-3.93,6,1,2330,12
9.299,12.9,-4.19,6,1,2340,12
9.321,12.9,-3.95,6,1,2361,12
9.338,12.9,-4.18,6,1,2367,12
9.352,12.9,-3.99,6,1,2374,12
9.38,12.9,-4.02,6,1,2387,12
9.392,12.9,-4.16,6,1,2399,12
9.414,12.5,-3.98,6,1,2410,12
9.432,12.5,-4.29,6,1,2421,12
9.447,12.2,-4.23,6,1,2422,12
9.459,12.2,-4.04,6,1,2424,12
9.471,11.8,-4.08,6,1,2434,12
9.49,11.4,-4.31,6,1,2438,12
9.502,11.4,-4.15,6,1,2443,12
9.53,11.4,-4.39,6,1,2443,12
9.542,11.4,-4.51,6.2,1,2445,12
9.565,11.4,-4.45,6.4,1,2446,12
9.577,11.4,-4.34,6.4,1,2450,12
9.589,11.4,-4.6,6.4,1,2451,12
9.61,11.4,-4.51,6.4,1,2452,12
9.623,11.4,-4.33,6.4,1,2460,12
9.644,11.4,-4.55,6.4,1,2465,12
9.648,11.4,-4.62,6.4,1,2475,12
9.662,11.4,-4.53,6.4,1,2478,12
9.694,11.8,-4.43,6.4,1,2493,12
9.706,11.8,-4.66,6.4,1,2501,12
9.728,11.8,-4.53,6.4,1,2508,12
9.747,11.4,-4.36,6.4,1,2521,12
9.759,11.4,-4.67,6.4,1,2531,12
9.772,11.4,-4.7,6.4,1,2542,12
9.797,11.4,-4.62,6.4,1,2546,12
9.808,11.4,-4.42,6.4,1,2554,12
9.83,11.8,-4.67,6.4,1,2559,12
9.844,11.8,-4.71,6.4,1,2564,12
9.867,11.8,-4.43,6.4,1,2566,12
9.882,11.8,-4.46,6.4,1,2568,12
9.894,11.8,-4.72,6.4,1,2571,12
9.916,11.8,-4.69,6.7,1,2577,13
9.928,11.8,-4.38,6.7,1,2577,13
9.952,11.8,-4.67,6.7,1,2583,13
9.978,11.4,-4.72,6.7,1,2588,13
9.99,11.4,-4.65,6.7,1,2594,13
10.006,11.4,-4.47,6.7,1,2593,13
10.028,11.4,-4.59,6.7,1,2603,13
10.053,11.4,-4.74,6.7,1,2602,13
10.073,11,-4.72,6.7,1,2609,13
10.085,11,-4.53,6.7,1,2619,13
10.097,10.6,-4.61,6.7,1,2629,13
10.109,10.6,-4.86,6.7,1,2632,13
10.124,10.6,-4.88,6.7,1,2639,13
10.141,10.6,-4.86,6.7,1,2646,13
10.155,10.6,-4.79,6.7,1,2647,13
10.183,10.6,-4.76,6.7,1,2655,13
10.195,10.2,-4.96,6.9,1,2660,13
10.207,9.4,-5.11,6.9,1,2665,13
10.219,9.4,-5.14,6.9,1,2665,13
10.244,9,-5.06,6.9,1,2670,13
10.255,8.6,-5.13,7.1,1,2670,13
10.283,8.6,-5.6,7.1,1,2668,13
10.29,8.2,-5.9,7.9,1,2662,14
10.318,7.5,-6.01,8.1,1,2660,14
10.329,6.7,-6.02,8.3,1,2662,14
10.352,5.5,-6.14,8.6,1,2660,14
10.353,4.7,-6.48,8.8,1,2662,14
10.377,3.1,-6.74,9.5,1,2663,14
10.389,0.4,-7.14,10.2,1,2665,14
10.412,0,-7.29,10.7,1,2660,14
10.435,0,-7.71,12.9,1,2657,14
10.458,0,-8.39,13.8,1,2636,14
10.47,0,-8.6,15.2,1,2605,14
10.482,0,-8.92,16.2,1,2585,14
10.514,0,-9.22,17.6,1,2564,14
10.526,0,-9.46,18.3,1,2552,14
10.548,0,-9.79,19.5,1,2537,14
10.562,0,-9.9,20.7,1,2534,14
10.579,0,-10,21.2,1,2532,14
10.592,0,-10.16,21.7,1,2526,14
10.619,0,-10.48,22.4,1,2524,14
10.623,0,-10.56,22.9,1,2512,14
10.645,0,-10.7,24.1,1,2496,14
10.657,0,-10.84,24.8,1,2480,14
10.679,0,-10.94,25,1,2474,14
10.692,0,-10.98,25.7,1,2458,14
10.704,0,-11.08,26.4,1,2446,14
10.716,0,-11.23,27.9,1,2427,14
10.742,0,-11.32,29.5,1,2410,14
10.759,0,-11.45,30.5,1,2401,14
10.772,0,-11.57,32.1,1,2377,14
10.794,0,-11.61,32.1,1,2355,14
10.799,0,-11.56,31.9,1,2341,14
10.81,0,-11.62,31.4,1,2329,14
10.835,0,-11.6,31.2,1,2311,14
10.859,0,-11.57,31.7,1,2287,14
10.871,0,-11.64,31.7,1,2271,14
10.892,0,-11.59,31.7,1,2245,14
10.907,0,-11.67,31.9,1,2233,14
10.923,0,-11.62,31.9,1,2217,14
10.935,0,-11.66,32.1,1,2194,14
10.957,0,-11.68,32.1,1,2176,14
10.968,0,-11.67,32.6,1,2166,14
10.98,0,-11.67,32.4,1,2151,14
11.002,0,-11.62,32.6,1,2136,14
11.02,0,-11.65,32.6,2,2122,14
11.029,0,-11.68,32.9,2,2106,14
11.043,0,-11.67,33.1,2,2097,14
11.058,0,-11.67,33.3,2,2074,14
11.069,0,-11.65,33.3,2,2065,14
11.092,0,-11.64,33.6,2,2043,14
11.116,0,-11.65,33.6,2,2029,14
11.132,0,-11.63,34.1,2,2005,14
11.144,0,-11.64,34.1,2,2000,14
11.166,0,-11.66,34.3,2,1979,14
11.178,0,-11.65,34.5,2,1956,14
11.19,0,-11.65,34.5,2,1946,14
11.211,0,-11.63,34.8,2,1920,14
11.236,0,-11.66,34.8,2,1905,14
