Time (sec),Accel. Position (%),Boost (PSI),Fuel Economy (MPG),Gear Position (Gear),RPM (RPM),Vehicle Speed (mph)
0,0,-9.54,46.2,5,902,21
0.029,0,-9.54,46.2,5,902,21
0.03,0,-9.53,46.2,5,902,21
0.042,0,-9.53,46,5,908,21
0.073,0,-9.55,46,5,912,21
0.084,0,-9.59,46.2,5,915,21
0.107,0,-9.59,46,5,923,21
0.143,0,-9.61,45.7,5,927,21
0.178,0,-9.6,45.7,5,933,21
0.2,0,-9.63,45.7,5,944,21
0.222,0,-9.67,45.7,5,944,21
0.234,0,-9.67,45.5,5,954,21
0.263,0,-9.71,45.2,5,962,21
0.275,0,-9.73,45.5,5,962,21
0.297,0,-9.73,45.5,5,968,21
0.309,0,-9.75,45.2,5,975,21
0.332,0,-9.75,45.2,5,978,21
0.339,0,-9.78,45,5,983,21
0.371,0,-9.78,45,5,987,21
0.383,0,-9.81,45.2,5,994,21
0.428,0,-9.83,45.5,5,1001,21
0.475,0,-9.91,45.5,5,1016,21
0.494,0,-9.95,45.7,5,1018,21
0.517,0,-9.98,46.2,5,1014,21
0.549,0,-9.98,46.4,5,1015,21
0.561,0,-10,46.4,5,1019,21
0.584,0,-10.05,46.7,5,1018,21
0.596,0,-10.05,46.9,5,1019,21
0.611,0,-10.08,46.9,5,1020,21
0.653,0,-10.08,47.4,5,1019,21
0.658,0,-10.1,47.4,5,1018,21
0.671,0,-10.11,47.9,5,1019,21
0.695,0,-10.14,47.9,5,1018,21
0.707,0,-10.14,48.1,5,1016,21
0.733,0,-10.15,48.3,5,1016,21
0.744,0,-10.15,48.6,5,1015,21
0.78,0,-10.13,48.8,5,1013,21
0.792,0,-10.15,49.1,5,1012,21
0.814,0,-10.17,49.1,5,1011,21
0.873,0,-10.17,49.3,5,1010,21
0.906,0,-10.19,50,5,1003,21
0.922,0,-10.19,50,5,1002,21
0.945,0,-10.2,50.2,5,1000,21
0.967,0,-10.2,48.8,5,998,20
0.979,0,-10.2,48.8,5,996,20
1.041,0,-10.2,49.1,5,992,20
1.043,0,-10.2,49.3,5,990,20
1.045,0,-10.2,49.3,5,988,20
1.068,0,-10.2,49.8,5,984,20
1.09,0,-10.21,49.8,5,981,20
1.103,0,-10.21,50,5,979,20
1.125,0,-10.2,49.8,5,975,20
1.166,0,-10.2,50.2,5,971,20
1.193,0,-10.22,50.5,5,965,20
1.228,0,-10.2,50.5,5,961,20
1.289,0,-10.14,50.7,5,954,20
1.292,0,-10.14,50.7,5,950,20
1.331,0,-10.15,51,5,945,20
1.344,0,-10.13,51,5,943,20
1.381,0,-10.13,51.2,5,940,20
1.383,0,-10.11,51.4,5,935,20
1.406,0,-10.09,51.4,5,930,20
1.452,0,-10.07,51.7,5,924,20
1.48,0,-10.05,51.7,5,920,20
1.492,0,-10.05,51.7,5,917,20
1.504,0,-10.04,52.1,5,910,20
1.526,0,-10.04,51.9,5,910,20
1.557,0,-10.02,51.9,5,905,20
1.579,0,-10,52.4,5,895,20
1.608,0,-10,52.4,5,895,20
1.62,0,-9.98,52.6,5,884,20
1.649,0,-9.92,52.4,5,884,20
1.671,0,-9.88,52.9,5,871,20
1.697,0,-9.88,52.9,5,868,20
1.715,0,-9.87,52.9,5,863,20
1.727,0,-9.87,52.9,5,861,20
1.738,0,-9.83,52.6,5,858,20
1.75,0,-9.83,52.9,5,855,20
1.773,0,-9.79,52.9,5,855,20
1.785,0,-9.79,52.9,5,850,20
1.799,0,-9.79,53.1,5,846,20
1.822,0,-9.76,53.1,5,840,20
1.848,0,-9.76,53.1,5,840,20
1.86,0,-9.73,53.1,5,834,20
1.878,0,-9.73,53.1,5,834,20
1.89,0,-9.7,53.3,6,826,20
1.902,0,-9.7,53.6,6,822,20
1.914,0,-9.65,53.3,6,818,20
1.936,0,-9.65,53.6,6,816,20
1.948,0,-9.61,53.3,6,816,20
1.97,0,-9.61,53.6,6,813,20
1.982,0,-9.61,53.6,6,810,20
1.995,0,-9.59,53.6,6,806,20
2.017,0,-9.59,51.9,5,805,19
2.039,0,-9.55,51.9,0,801,19
2.056,0,-9.55,52.1,6,798,19
2.078,0,-9.49,52.1,6,793,19
2.09,0,-9.49,52.1,6,793,19
2.113,0,-9.47,51.9,6,788,19
2.132,0,-9.47,51.9,6,785,19
2.146,0,-9.45,51.9,6,785,19
2.158,0,-9.45,51.9,6,778,19
2.172,0,-9.45,51.9,6,778,19
2.194,0,-9.4,51.7,6,773,19
2.217,0,-9.4,51.7,6,770,19
2.229,0,-9.34,51.7,6,766,19
2.255,0,-9.34,51.4,6,764,19
2.259,0,-9.28,51.4,6,763,19
2.272,0,-9.28,51.2,6,762,19
2.294,0,-9.28,51,6,762,19
2.309,0,-9.23,50.7,6,761,19
2.322,0,-9.23,50.7,6,761,19
2.334,0,-9.16,50.5,6,761,19
2.346,0,-9.16,50.2,6,761,19
2.368,0,-9.16,50,6,759,19
2.382,0,-9.09,49.5,6,757,19
2.394,0,-9.09,49.3,6,757,19
2.406,0,-9.09,49.1,6,757,19
2.428,0,-9.03,48.8,6,758,19
2.439,0,-9.03,46.9,6,758,19
2.462,0,-8.99,46.9,6,761,19
2.484,0,-8.99,46.7,6,763,19
2.488,0,-8.99,46.4,6,763,19
2.5,0,-8.94,46.2,6,766,19
2.524,0,-8.94,46.2,6,766,19
2.536,0,-8.89,46.2,6,766,19
2.548,0,-8.89,46,6,770,19
2.583,0,-8.87,46,6,770,19
2.595,0,-8.87,46,6,774,19
2.622,0,-8.87,46,6,774,19
2.634,0,-8.87,46,0,781,19
2.646,0,-8.87,46,5,785,19
2.674,0,-8.87,46.2,5,785,19
2.687,0,-8.87,46.2,5,786,19
2.722,0,-8.87,46.4,5,786,19
2.73,0,-8.89,46.4,5,790,19
2.757,0,-8.89,46.7,5,792,19
2.772,0,-8.92,46.9,5,796,19
2.79,0,-8.92,46.9,5,799,19
2.797,0,-8.95,46.9,5,799,19
2.811,0,-8.95,45.5,5,799,18
2.827,0,-8.95,45.7,5,797,18
2.851,0,-8.98,45.7,5,797,18
2.863,0,-8.98,46,5,798,18
2.875,0,-9.01,46,5,798,18
2.898,0,-9.01,46.2,5,798,18
2.925,0,-9.04,46.2,5,799,18
2.937,0,-9.04,46.2,5,800,18
2.949,0,-9.07,46.4,5,800,18
2.961,0,-9.07,46.4,5,800,18
2.984,0,-9.07,46.7,5,799,18
3.006,0,-9.1,46.7,5,797,18
3.018,0,-9.1,46.7,5,797,18
3.03,0,-9.12,46.9,5,797,18
3.042,0,-9.12,46.9,5,798,18
3.054,0,-9.15,46.9,5,798,18
3.076,0,-9.15,46.9,5,800,18
3.088,0,-9.15,45.2,5,801,17
3.11,0,-9.17,45.2,5,801,17
3.122,0,-9.17,45.5,5,800,17
3.149,0,-9.17,45.5,5,799,17
3.162,0,-9.17,45.5,5,798,17
3.179,0,-9.18,45.5,5,798,17
3.19,0,-9.18,45.7,5,798,17
3.219,0,-9.18,45.7,5,798,17
3.223,0,-9.2,45.7,5,799,17
3.245,0,-9.2,45.7,5,801,17
3.267,0,-9.21,45.7,5,801,17
3.282,0,-9.21,44.1,5,799,17
3.293,0,-9.21,44.1,5,798,17
3.315,0,-9.21,44.3,5,799,17
3.332,0,-9.21,44.1,5,800,17
3.339,0,-9.21,44.1,5,802,17
3.36,0,-9.21,44.3,5,802,17
3.382,0,-9.21,44.1,5,804,17
3.398,0,-9.21,44.1,5,804,17
3.41,0,-9.22,44.1,5,804,17
