Time (sec),Accel. Position (%),Boost (PSI),Fuel Economy (MPG),Gear Position (Gear),RPM (RPM),Vehicle Speed (mph)
0,0,-10.69,0,0,708,0
0.002,0,-10.69,0,0,707,0
0.004,0,-10.7,0,0,707,0
0.005,0,-10.7,0,0,707,0
0.007,0,-10.7,0,0,707,0
0.034,0,-10.7,0,0,707,0
0.05,0,-10.69,0,0,706,0
0.061,0,-10.69,0,0,703,0
0.094,0,-10.69,0,0,703,0
0.105,0,-10.69,0,0,701,0
0.13,0,-10.69,0,0,698,0
0.149,0,-10.69,0,0,697,0
0.161,0,-10.69,0,0,697,0
0.173,0,-10.69,0,0,695,0
0.209,0,-10.69,0,0,694,0
0.233,0,-10.68,0,0,694,0
0.245,0,-10.68,0,0,694,0
0.272,0,-10.68,0,0,694,0
0.284,0,-10.67,0,0,694,0
0.296,0,-10.67,0,0,694,0
0.339,0,-10.67,0,0,695,0
0.359,0,-10.66,0,0,695,0
0.381,0,-10.64,0,0,695,0
0.403,0,-10.64,0,0,695,0
0.425,0,-10.64,0,0,693,0
0.439,0,-10.64,0,0,692,0
0.462,0,-10.64,0,0,691,0
0.501,0,-10.63,0,0,692,0
0.523,0,-10.63,0,0,694,0
0.562,0,-10.61,0,0,694,0
0.595,0,-10.61,0,0,695,0
0.618,0,-10.6,0,0,697,0
0.651,0,-10.6,0,0,697,0
0.68,0,-10.6,0,0,697,0
0.691,0,-10.6,0,0,697,0
0.724,0,-10.6,0,0,696,0
0.782,0,-10.6,0,0,696,0
0.798,0,-10.61,0,0,692,0
0.825,0,-10.61,0,0,692,0
0.83,0,-10.63,0,0,689,0
0.849,0,-10.63,0,0,688,0
0.861,0,-10.63,0,0,688,0
0.873,0,-10.63,0,0,689,0
0.885,0,-10.62,0,0,689,0
0.908,0,-10.62,0,0,690,0
0.954,0,-10.62,0,0,694,0
0.976,0,-10.63,0,0,695,0
1.002,0,-10.63,0,0,695,0
1.04,0,-10.63,0,0,695,0
1.052,0,-10.63,0,0,694,0
1.109,0,-10.62,0,0,694,0
1.123,0,-10.62,0,0,696,0
1.134,0,-10.63,0,0,696,0
1.146,0,-10.64,0,0,695,0
1.172,0,-10.64,0,0,694,0
1.199,0,-10.63,0,0,695,0
1.221,0,-10.63,0,0,697,0
1.233,0,-10.62,0,0,694,0
1.26,0,-10.62,0,0,694,0
1.272,0,-10.62,0,0,693,0
1.284,0,-10.62,0,0,695,0
1.296,0,-10.62,0,0,696,0
1.321,0,-10.62,0,0,696,0
1.333,0,-10.58,0,0,698,0
1.345,0,-10.58,0,0,700,0
1.357,0,-10.58,0,0,700,0
1.382,0,-10.52,0,0,704,0
1.425,0,-10.52,0,0,706,0
1.437,0,-10.47,0,0,715,0
1.449,0,-10.44,0,0,721,0
1.477,0,-10.44,0,0,725,0
1.489,0,-10.41,0,0,725,0
1.501,0,-10.41,0,0,733,0
1.539,0,-10.4,0,0,737,0
1.566,0,-10.4,0,0,741,0
1.57,0,-10.4,0,0,741,0
1.583,0,-10.38,0,0,748,0
1.613,0,-10.38,0,0,748,0
1.625,0,-10.39,0,0,756,0
1.637,0,-10.39,0,0,760,0
1.649,0,-10.41,0,0,760,0
1.671,0,-10.41,0,0,769,0
1.683,0,-10.42,0,0,769,0
1.705,0,-10.42,0,0,776,0
1.721,0,-10.42,0,0,779,0
1.736,0,-10.43,0,0,784,0
1.765,0,-10.43,0,0,784,0
1.777,0,-10.46,0,0,790,0
1.796,0,-10.46,0,0,790,0
1.807,0,-10.51,0,0,794,0
1.823,0,-10.51,0,0,796,0
1.847,0,-10.55,0,0,796,0
1.859,0,-10.55,0,0,796,0
1.876,0,-10.55,0,0,796,0
1.89,0,-10.59,0,0,798,0
1.915,0,-10.59,0,0,800,0
1.92,0,-10.62,0,0,804,0
1.935,0,-10.62,0,0,805,0
1.963,0,-10.66,0,0,805,0
1.979,0,-10.66,0,0,809,0
1.991,0,-10.7,0,0,811,0
2.013,0,-10.7,0,0,811,0
2.035,0,-10.72,0,0,813,0
2.049,0,-10.72,0,0,814,0
2.071,0,-10.74,0,0,815,0
2.083,0,-10.74,0,0,815,0
2.094,0,-10.77,0,0,815,0
2.117,0,-10.77,0,0,816,0
2.129,0,-10.77,0,0,817,0
2.145,0,-10.79,0,0,817,0
2.167,0,-10.79,0,0,816,0
2.192,0,-10.79,0,0,813,0
2.213,0,-10.79,0,0,812,0
2.225,0,-10.81,0,0,809,0
2.237,0,-10.81,0,0,807,0
2.262,0,-10.82,0,0,803,0
2.274,0,-10.82,0,0,800,0
2.286,0,-10.82,0,0,798,0
2.298,0,-10.82,0,0,797,0
2.316,0,-10.82,0,0,797,0
2.34,0,-10.81,0,0,795,0
2.363,0,-10.81,0,0,795,0
2.374,0,-10.81,0,0,796,0
2.386,0,-10.81,0,0,796,0
2.41,0,-10.8,0,0,793,0
2.433,0,-10.8,0,0,791,0
2.437,0,-10.79,0,0,788,0
2.452,0,-10.79,0,0,786,0
2.483,0,-10.79,0,0,786,0
2.494,0,-10.76,0,0,777,0
2.52,0,-10.75,0,0,771,0
2.531,0,-10.75,0,0,767,0
2.554,0,-10.73,0,0,767,0
2.566,0,-10.73,0,0,756,0
2.591,0,-10.73,0,0,756,0
2.622,0,-10.68,0,0,739,0
2.634,0,-10.68,0,0,739,0
2.646,0,-10.63,0,0,722,0
2.658,0,-10.63,0,0,722,0
2.672,0,-10.57,0,0,722,0
2.689,0,-10.57,0,0,712,0
2.712,0,-10.57,0,0,706,0
2.733,0,-10.49,0,0,706,0
2.745,0,-10.49,0,0,689,0
2.759,0,-10.49,0,0,689,0
2.776,0,-10.35,0,0,676,0
2.787,0,-10.35,0,0,670,0
2.815,0,-10.35,0,0,670,0
2.82,0,-9.75,0,0,670,0
2.834,0,-9.75,0,0,650,0
2.864,0,-9.38,0,0,650,0
2.875,0,-9.38,0,0,637,0
2.902,0,-9.38,0,0,637,0
2.914,0,-8.94,0,0,634,0
2.932,0,-8.94,0,0,634,0
2.954,0,-8.54,0,0,634,0
2.965,0,-8.54,0,0,634,0
2.981,0,-8.54,0,0,634,0
2.996,0,-8.26,0,0,640,0
3.023,0,-8.26,0,0,644,0
3.035,0,-8.26,0,0,644,0
3.057,0,-8.22,0,0,653,0
3.069,0,-8.22,0,0,659,0
3.087,0,-8.22,0,0,659,0
3.101,0,-8.02,0,0,684,0
3.133,0,-8.02,0,0,684,0
3.165,0,-7.89,0,0,708,0
3.177,0,-7.81,0,0,725,0
3.197,0,-7.81,0,0,734,0
3.224,0,-7.81,0,0,751,0
3.236,0,-7.81,0,0,758,0
3.26,0,-7.89,0,0,758,0
3.265,0,-7.89,0,0,775,0
3.277,0,-8.05,0,0,802,0
3.292,0,-8.05,0,0,802,0
3.317,0,-8.05,0,0,809,0
3.339,0,-8.65,0,0,819,0
3.351,0,-8.65,0,0,825,0
3.372,0,-8.92,0,0,825,0
3.384,0,-8.92,0,0,841,0
3.396,0,-8.88,0,0,849,0
3.407,0,-8.88,0,0,852,0
3.43,0,-9.11,0,0,852,0
3.45,0,-9.11,0,0,857,0
3.462,0,-9.11,0,0,858,0
3.474,0,-9.31,0,0,859,0
3.499,0,-9.31,0,0,859,0
3.524,0,-9.49,0,0,860,0
3.526,0,-9.49,0,0,859,0
3.539,0,-9.66,0,0,857,0
3.573,0,-9.77,1.7,0,856,1
3.585,0,-9.77,1.7,0,850,1
3.597,0,-9.77,1.7,0,850,1
3.62,0,-9.86,1.7,0,842,1
3.641,0,-9.86,1.7,0,838,1
3.653,0,-9.93,1.7,0,831,1
3.665,0,-9.93,1.7,0,827,1
3.681,0,-9.98,1.7,0,827,1
3.703,0,-9.98,1.9,0,816,1
3.715,0,-10.02,1.9,0,808,1
3.739,0,-10.02,1.9,0,803,1
3.76,0,-10.02,1.9,0,803,1
3.765,0,-10.02,1.9,0,788,1
