Time (sec),Accel. Position (%),Boost (PSI),Fuel Economy (MPG),Gear Position (Gear),RPM (RPM),Vehicle Speed (mph)
0,3.9,-7.67,9.5,1,1577,7
0.002,4.3,-7.63,9.5,1,1579,7
0.039,3.9,-7.6,9.8,1,1578,7
0.041,3.9,-7.63,9.5,1,1582,7
0.052,3.9,-7.64,9.8,1,1581,7
0.065,3.9,-7.67,10.5,1,1579,8
0.083,3.9,-7.72,10.7,1,1572,8
0.11,3.9,-7.74,10.7,1,1572,8
0.132,3.9,-7.74,10.7,1,1571,8
0.159,4.3,-7.69,10.7,1,1576,8
0.178,4.3,-7.67,10.7,1,1577,8
0.181,4.3,-7.67,10.5,1,1582,8
0.193,4.3,-7.67,10.5,1,1585,8
0.267,4.3,-7.75,10.5,1,1595,8
0.289,4.3,-7.76,10.5,1,1598,8
0.311,4.3,-7.71,10.5,1,1599,8
0.354,4.3,-7.67,10.5,1,1603,8
0.355,4.3,-7.67,10.5,1,1601,8
0.386,4.3,-7.67,10.5,1,1603,8
0.412,4.3,-7.8,10.5,1,1600,8
0.445,4.3,-7.74,10.5,1,1596,8
0.467,4.3,-7.72,10.5,1,1596,8
0.506,4.3,-7.69,10.5,1,1599,8
0.539,4.7,-7.71,10.2,1,1601,8
0.552,4.7,-7.74,10.2,1,1604,8
0.583,4.7,-7.75,10.2,1,1609,8
0.615,4.7,-7.67,10.2,1,1611,8
0.638,4.7,-7.67,10.2,1,1616,8
0.65,5.1,-7.62,10,1,1613,8
0.673,5.1,-7.64,10,1,1618,8
0.695,5.1,-7.67,10,1,1622,8
0.728,5.1,-7.63,10,1,1627,8
0.751,5.1,-7.58,10,1,1628,8
0.786,5.1,-7.59,9.8,1,1631,8
0.808,5.1,-7.62,9.8,1,1631,8
0.83,5.1,-7.67,9.8,1,1632,8
0.854,5.1,-7.64,9.8,1,1633,8
0.877,5.1,-7.53,9.8,1,1633,8
0.91,5.1,-7.59,9.8,1,1630,8
0.935,5.1,-7.6,9.8,1,1629,8
0.947,5.1,-7.57,9.8,1,1633,8
0.975,5.1,-7.53,9.8,1,1634,8
0.987,5.1,-7.51,9.8,1,1639,8
1.025,5.1,-7.55,9.8,1,1645,8
1.037,5.1,-7.59,9.5,1,1646,8
1.059,5.1,-7.57,9.5,1,1651,8
1.105,5.1,-7.49,9.5,1,1651,8
1.119,5.1,-7.48,9.5,1,1653,8
1.139,5.1,-7.53,9.5,1,1657,8
1.142,5.1,-7.59,9.5,1,1662,8
1.165,5.1,-7.57,9.5,1,1662,8
1.167,5.1,-7.57,9.5,1,1663,8
1.179,5.1,-7.48,9.3,1,1667,8
1.204,5.1,-7.51,9.3,1,1667,8
1.226,5.1,-7.57,9.3,1,1668,8
1.238,5.1,-7.57,9.3,1,1670,8
1.274,5.1,-7.47,9.3,1,1669,8
1.297,5.1,-7.49,9.3,1,1670,8
1.309,5.1,-7.57,9.3,1,1671,8
1.347,5.1,-7.5,9.3,1,1673,8
1.374,5.1,-7.45,9.3,1,1673,8
1.386,5.1,-7.5,9.3,1,1677,8
1.423,5.1,-7.58,9.3,1,1681,8
1.439,5.1,-7.49,9.3,1,1681,8
1.452,5.1,-7.47,9.3,1,1688,8
1.475,5.1,-7.52,9.3,1,1688,8
1.5,5.1,-7.57,9.3,1,1693,8
1.513,5.1,-7.54,9.3,1,1695,8
1.528,5.1,-7.51,9.3,1,1700,8
1.54,5.1,-7.53,10,1,1700,9
1.562,5.1,-7.58,10,1,1703,9
1.565,5.1,-7.58,10,1,1706,9
1.587,5.1,-7.57,10,1,1706,9
1.608,4.7,-7.56,10,1,1710,9
1.625,4.7,-7.56,10,1,1710,9
1.647,4.7,-7.64,10,1,1710,9
1.67,4.7,-7.55,10,1,1710,9
1.695,4.7,-7.59,10,1,1708,9
1.7,4.7,-7.68,10.2,1,1710,9
1.73,4.7,-7.68,10.2,1,1706,9
1.734,4.7,-7.61,10.2,1,1706,9
1.746,4.7,-7.62,10.2,1,1708,9
1.771,4.7,-7.69,10.2,1,1711,9
1.783,4.3,-7.69,10.2,1,1710,9
1.807,4.3,-7.63,10.2,1,1710,9
1.828,3.9,-7.66,10.2,1,1713,9
1.84,3.9,-7.76,10.2,1,1717,9
1.862,3.9,-7.76,10.5,1,1717,9
1.864,3.9,-7.76,10.5,1,1718,9
1.877,3.9,-7.7,10.5,1,1721,9
1.891,3.9,-7.76,10.5,1,1724,9
1.918,3.9,-7.9,10.7,1,1726,9
1.933,3.9,-7.91,10.7,1,1725,9
1.949,3.9,-7.85,10.7,1,1728,9
1.961,3.9,-7.86,10.7,1,1728,9
1.973,3.9,-7.94,10.7,1,1733,9
1.995,3.9,-7.94,10.7,1,1733,9
2.007,3.9,-7.88,10.7,1,1734,9
2.019,4.3,-7.93,11,1,1737,9
2.041,4.3,-7.99,11,1,1738,9
2.053,4.3,-7.99,11,1,1736,9
2.065,4.3,-7.93,11,1,1735,9
2.087,4.3,-8,11,1,1737,9
2.115,4.3,-8,11,1,1737,9
2.135,4.3,-7.94,11,1,1739,9
2.147,4.7,-7.94,11,1,1737,9
2.159,4.7,-8,11,1,1738,9
2.182,4.7,-8,11,1,1737,9
2.2,4.7,-7.98,11,1,1737,9
2.213,4.3,-7.91,11,1,1733,9
2.238,4.3,-7.93,11,1,1736,9
2.243,4.3,-7.98,11,1,1736,9
2.255,4.3,-7.93,11,1,1738,9
2.284,4.3,-7.88,11,1,1738,9
2.305,4.3,-7.96,11,1,1742,9
2.317,4.3,-8,11,1,1742,9
2.329,4.7,-7.94,11,1,1746,9
2.341,4.7,-7.96,11,1,1748,9
2.355,4.7,-8.02,11,1,1752,9
2.37,4.7,-7.97,11,1,1754,9
2.385,5.1,-7.92,10.7,1,1755,9
2.413,4.7,-7.98,10.7,1,1760,9
2.428,5.1,-8,10.7,1,1761,9
2.44,5.1,-7.93,10.7,1,1764,9
2.451,5.1,-7.92,10.7,1,1763,9
